individual,substrate,dS,dL,predator,species,locality,morph
SAN4,LeafLitter,3.796011554,1.0452073,bird,granulifera,SAN,red
SAN5,LeafLitter,3.561229168,7.9605278,bird,granulifera,SAN,red
SAN6,LeafLitter,9.715948908,14.3625132,bird,granulifera,SAN,red
SAN7,LeafLitter,5.00576219,6.2912806,bird,granulifera,SAN,red
SAN8,LeafLitter,7.656622374,8.3421318,bird,granulifera,SAN,red
SAN1,trunk,11.85205226,2.1174056,bird,granulifera,SAN,red
SAN2,trunk,8.079634102,5.66997,bird,granulifera,SAN,red
SAN3,trunk,6.78139854,6.2511783,bird,granulifera,SAN,red
SAN4,trunk,3.947663798,3.092512,bird,granulifera,SAN,red
SAN5,trunk,4.008889656,5.9132231,bird,granulifera,SAN,red
SAN6,trunk,10.31405105,12.3152085,bird,granulifera,SAN,red
SAN7,trunk,5.491945242,4.2439759,bird,granulifera,SAN,red
SAN8,trunk,8.253289812,6.2948271,bird,granulifera,SAN,red
SAN1,GreenLeaf,6.680058234,3.0380261,crab,granulifera,SAN,red
SAN2,GreenLeaf,3.55754626,4.3629042,crab,granulifera,SAN,red
SAN3,GreenLeaf,3.130032489,4.9809639,crab,granulifera,SAN,red
SAN4,GreenLeaf,0.049571895,0.2206008,crab,granulifera,SAN,red
SAN5,GreenLeaf,1.095083787,4.5391199,crab,granulifera,SAN,red
SAN6,GreenLeaf,5.861607949,8.0827667,crab,granulifera,SAN,red
SAN7,GreenLeaf,1.376610561,3.4480966,crab,granulifera,SAN,red
SAN8,GreenLeaf,3.430210888,4.7027165,crab,granulifera,SAN,red
SAN1,LeafLitter,5.383839,1.5402926,crab,granulifera,SAN,red
SAN2,LeafLitter,2.261327026,2.8651708,crab,granulifera,SAN,red
SAN3,LeafLitter,1.833813255,3.4832305,crab,granulifera,SAN,red
SAN4,LeafLitter,1.345791129,1.7183343,crab,granulifera,SAN,red
SAN5,LeafLitter,0.201135447,3.0413865,crab,granulifera,SAN,red
SAN6,LeafLitter,4.565388715,6.5850332,crab,granulifera,SAN,red
SAN7,LeafLitter,0.080391327,1.9503631,crab,granulifera,SAN,red
SAN8,LeafLitter,2.133991654,3.204983,crab,granulifera,SAN,red
SAN1,trunk,5.542054005,0.4312921,crab,granulifera,SAN,red
SAN2,trunk,2.419542032,1.7561703,crab,granulifera,SAN,red
SAN3,trunk,1.99202826,2.37423,crab,granulifera,SAN,red
SAN4,trunk,1.187576123,2.8273348,crab,granulifera,SAN,red
SAN5,trunk,0.042920442,1.932386,crab,granulifera,SAN,red
SAN6,trunk,4.72360372,5.4760328,crab,granulifera,SAN,red
SAN7,trunk,0.238606333,0.8413627,crab,granulifera,SAN,red
SAN8,trunk,2.29220666,2.0959826,crab,granulifera,SAN,red
SAN1,GreenLeaf,16.79817509,3.8194919,lizard,granulifera,SAN,red
SAN2,GreenLeaf,10.72494166,5.296849,lizard,granulifera,SAN,red
SAN3,GreenLeaf,9.334981154,5.9412769,lizard,granulifera,SAN,red
SAN4,GreenLeaf,3.847258623,0.9261275,lizard,granulifera,SAN,red
SAN5,GreenLeaf,5.135932668,5.4587854,lizard,granulifera,SAN,red
SAN6,GreenLeaf,14.55172989,8.8158031,lizard,granulifera,SAN,red
SAN7,GreenLeaf,6.505442609,4.6101398,lizard,granulifera,SAN,red
SAN8,GreenLeaf,10.60633192,5.7753328,lizard,granulifera,SAN,red
SAN1,LeafLitter,12.81836293,2.0865114,lizard,granulifera,SAN,red
SAN2,LeafLitter,6.987025876,3.5638684,lizard,granulifera,SAN,red
SAN3,LeafLitter,5.696443776,4.2082964,lizard,granulifera,SAN,red
SAN4,LeafLitter,4.323042996,0.806853,lizard,granulifera,SAN,red
SAN5,LeafLitter,2.905315361,3.7258049,lizard,granulifera,SAN,red
SAN6,LeafLitter,10.61451495,7.0828225,lizard,granulifera,SAN,red
SAN7,LeafLitter,4.037003274,2.8771593,lizard,granulifera,SAN,red
SAN8,LeafLitter,6.904502339,4.0423523,lizard,granulifera,SAN,red
SAN1,trunk,13.39811531,1.0502591,lizard,granulifera,SAN,red
SAN2,trunk,7.516770893,2.5276161,lizard,granulifera,SAN,red
SAN3,trunk,6.195458476,3.1720441,lizard,granulifera,SAN,red
SAN4,trunk,4.001040651,1.8431053,lizard,granulifera,SAN,red
SAN5,trunk,2.998111965,2.6895526,lizard,granulifera,SAN,red
SAN6,trunk,11.185432,6.0465702,lizard,granulifera,SAN,red
SAN7,trunk,4.250136861,1.840907,lizard,granulifera,SAN,red
SAN8,trunk,7.428522258,3.0061,lizard,granulifera,SAN,red
CAY1,GreenLeaf,4.170492741,0.787108,bird,pumilio,CAY,green
CAY2,GreenLeaf,1.443210866,1.983698,bird,pumilio,CAY,green
CAY3,GreenLeaf,2.161013191,8.4076962,bird,pumilio,CAY,green
CAY4,GreenLeaf,6.189905533,18.0866456,bird,pumilio,CAY,green
CAY5,GreenLeaf,1.371536989,3.6003598,bird,pumilio,CAY,green
CAY6,GreenLeaf,4.930309391,18.5421948,bird,pumilio,CAY,green
CAY7,GreenLeaf,7.197088279,17.1012793,bird,pumilio,CAY,green
CAY8,GreenLeaf,1.543067228,17.6106287,bird,pumilio,CAY,green
CAY1,LeafLitter,5.251444972,3.0886225,bird,pumilio,CAY,green
CAY2,LeafLitter,3.640916211,1.8920325,bird,pumilio,CAY,green
CAY3,LeafLitter,4.00716352,4.5319657,bird,pumilio,CAY,green
CAY4,LeafLitter,5.725759149,14.2109151,bird,pumilio,CAY,green
CAY5,LeafLitter,3.719148999,0.2753707,bird,pumilio,CAY,green
CAY6,LeafLitter,5.09001163,14.6664643,bird,pumilio,CAY,green
CAY7,LeafLitter,6.412262384,13.2255488,bird,pumilio,CAY,green
CAY8,LeafLitter,3.672065211,13.7348982,bird,pumilio,CAY,green
CAY1,trunk,4.795518502,5.1359272,bird,pumilio,CAY,green
CAY2,trunk,3.00328152,3.9393372,bird,pumilio,CAY,green
CAY3,trunk,3.403508886,2.4846611,bird,pumilio,CAY,green
CAY4,trunk,5.506689424,12.1636104,bird,pumilio,CAY,green
CAY5,trunk,3.068054509,2.3226754,bird,pumilio,CAY,green
CAY6,trunk,4.754284477,12.6191596,bird,pumilio,CAY,green
CAY7,trunk,6.27043943,11.1782441,bird,pumilio,CAY,green
CAY8,trunk,3.0280251,11.6875935,bird,pumilio,CAY,green
CAY1,GreenLeaf,2.291385346,1.4644811,crab,pumilio,CAY,green
CAY2,GreenLeaf,0.157071439,0.7711104,crab,pumilio,CAY,green
CAY3,GreenLeaf,1.143084761,4.6470543,crab,pumilio,CAY,green
CAY4,GreenLeaf,3.547522008,10.302708,crab,pumilio,CAY,green
CAY5,GreenLeaf,0.73275943,2.0264358,crab,pumilio,CAY,green
CAY6,GreenLeaf,3.042313672,10.5526109,crab,pumilio,CAY,green
CAY7,GreenLeaf,4.15767763,10.0195497,crab,pumilio,CAY,green
CAY8,GreenLeaf,0.511717614,8.7812617,crab,pumilio,CAY,green
CAY1,LeafLitter,0.995166112,0.0332524,crab,pumilio,CAY,green
CAY2,LeafLitter,1.139147795,0.7266231,crab,pumilio,CAY,green
CAY3,LeafLitter,0.153134473,3.1493208,crab,pumilio,CAY,green
CAY4,LeafLitter,2.251302773,8.8049745,crab,pumilio,CAY,green
CAY5,LeafLitter,0.563459804,0.5287023,crab,pumilio,CAY,green
CAY6,LeafLitter,1.746094438,9.0548775,crab,pumilio,CAY,green
CAY7,LeafLitter,2.861458396,8.5218162,crab,pumilio,CAY,green
CAY8,LeafLitter,0.78450162,7.2835283,crab,pumilio,CAY,green
CAY1,trunk,1.153381118,1.1422529,crab,pumilio,CAY,green
CAY2,trunk,0.980932789,1.8356235,crab,pumilio,CAY,green
CAY3,trunk,0.005080533,2.0403204,crab,pumilio,CAY,green
CAY4,trunk,2.409517779,7.695974,crab,pumilio,CAY,green
CAY5,trunk,0.405244799,0.5802981,crab,pumilio,CAY,green
CAY6,trunk,1.904309443,7.945877,crab,pumilio,CAY,green
CAY7,trunk,3.019673402,7.4128158,crab,pumilio,CAY,green
CAY8,trunk,0.626286614,6.1745278,crab,pumilio,CAY,green
CAY1,GreenLeaf,3.922332419,0.9001288,lizard,pumilio,CAY,green
CAY2,GreenLeaf,1.140875628,0.9927775,lizard,pumilio,CAY,green
CAY3,GreenLeaf,2.037050665,4.3978234,lizard,pumilio,CAY,green
CAY4,GreenLeaf,6.67085919,9.5875134,lizard,pumilio,CAY,green
CAY5,GreenLeaf,1.294253496,1.8899812,lizard,pumilio,CAY,green
CAY6,GreenLeaf,5.602585394,9.6651303,lizard,pumilio,CAY,green
CAY7,GreenLeaf,7.964072066,9.2962846,lizard,pumilio,CAY,green
CAY8,GreenLeaf,1.362540134,8.8250016,lizard,pumilio,CAY,green
CAY1,LeafLitter,3.554567695,0.8328517,lizard,pumilio,CAY,green
CAY2,LeafLitter,4.144818216,0.7402031,lizard,pumilio,CAY,green
CAY3,LeafLitter,3.156424395,2.6648429,lizard,pumilio,CAY,green
CAY4,LeafLitter,4.120514728,7.8545329,lizard,pumilio,CAY,green
CAY5,LeafLitter,3.216443311,0.1570007,lizard,pumilio,CAY,green
CAY6,LeafLitter,3.442730804,7.9321498,lizard,pumilio,CAY,green
CAY7,LeafLitter,5.134506833,7.563304,lizard,pumilio,CAY,green
CAY8,LeafLitter,3.769209743,7.0920211,lizard,pumilio,CAY,green
CAY1,trunk,3.224893318,1.869104,lizard,pumilio,CAY,green
CAY2,trunk,3.53922299,1.7764554,lizard,pumilio,CAY,green
CAY3,trunk,2.581149136,1.6285906,lizard,pumilio,CAY,green
CAY4,trunk,4.290495108,6.8182806,lizard,pumilio,CAY,green
CAY5,trunk,2.590753931,0.8792517,lizard,pumilio,CAY,green
CAY6,trunk,3.489531781,6.8958975,lizard,pumilio,CAY,green
CAY7,trunk,5.401689329,6.5270517,lizard,pumilio,CAY,green
CAY8,trunk,3.165059048,6.0557688,lizard,pumilio,CAY,green
POP1,GreenLeaf,9.331860608,11.4091766,bird,pumilio,POP,green
POP2,GreenLeaf,8.916544952,16.9313431,bird,pumilio,POP,green
POP3,GreenLeaf,4.219887578,0.2685669,bird,pumilio,POP,green
POP4,GreenLeaf,11.06522586,11.703399,bird,pumilio,POP,green
POP5,GreenLeaf,4.262938512,10.0254653,bird,pumilio,POP,green
POP6,GreenLeaf,3.001178705,2.3977678,bird,pumilio,POP,green
