individual,substrate,dS,dL,predator,species,locality,morph
SAN4,GreenLeaf,0.049571895,0.2206008,crab,granulifera,SAN,red
SAN5,GreenLeaf,1.095083787,4.5391199,crab,granulifera,SAN,red
SAN6,GreenLeaf,5.861607949,8.0827667,crab,granulifera,SAN,red
SAN7,GreenLeaf,1.376610561,3.4480966,crab,granulifera,SAN,red
SAN8,GreenLeaf,3.430210888,4.7027165,crab,granulifera,SAN,red
SAN1,LeafLitter,5.383839,1.5402926,crab,granulifera,SAN,red
SAN2,LeafLitter,2.261327026,2.8651708,crab,granulifera,SAN,red
SAN3,LeafLitter,1.833813255,3.4832305,crab,granulifera,SAN,red
SAN4,LeafLitter,1.345791129,1.7183343,crab,granulifera,SAN,red
SAN5,LeafLitter,0.201135447,3.0413865,crab,granulifera,SAN,red
SAN6,LeafLitter,4.565388715,6.5850332,crab,granulifera,SAN,red
SAN7,LeafLitter,0.080391327,1.9503631,crab,granulifera,SAN,red
SAN8,LeafLitter,2.133991654,3.204983,crab,granulifera,SAN,red
SAN1,trunk,5.542054005,0.4312921,crab,granulifera,SAN,red
SAN2,trunk,2.419542032,1.7561703,crab,granulifera,SAN,red
SAN3,trunk,1.99202826,2.37423,crab,granulifera,SAN,red
SAN4,trunk,1.187576123,2.8273348,crab,granulifera,SAN,red
SAN5,trunk,0.042920442,1.932386,crab,granulifera,SAN,red
SAN6,trunk,4.72360372,5.4760328,crab,granulifera,SAN,red
SAN7,trunk,0.238606333,0.8413627,crab,granulifera,SAN,red
SAN8,trunk,2.29220666,2.0959826,crab,granulifera,SAN,red
SAN1,GreenLeaf,9.889647792,2.1922904,lizard,granulifera,SAN,red
SAN2,GreenLeaf,6.499439726,4.2729019,lizard,granulifera,SAN,red
SAN3,GreenLeaf,5.821005258,4.7762825,lizard,granulifera,SAN,red
SAN4,GreenLeaf,2.605112389,0.8351763,lizard,granulifera,SAN,red
SAN5,GreenLeaf,3.289100602,5.0612033,lizard,granulifera,SAN,red
SAN6,GreenLeaf,8.543864718,7.395652,lizard,granulifera,SAN,red
